TransactionID,TransactionDT,card1,DeviceInfo,isFraud,TransactionAmt,tx_count_5m_per_card,high_risk_tx_5m_per_card,distinct_cards_5m_per_device,addr_mismatch_streak_per_card,rapid_tx_streak_per_card,distinct_devices_1h_per_card,amount_sum_5m_per_card
2987048,87317,15885,Windows,0,42.294,1,1.0,2.0,1,1,1.0,42.294
2987049,87317,12730,Windows,0,3.595,1,1.0,3.0,1,1,1.0,3.595
2987050,87319,10045,,0,117.0,1,1.0,,1,1,0.0,117.0
2987051,87328,7835,,0,226.0,1,0.0,,0,1,0.0,226.0
2987052,87333,7826,,0,117.0,1,1.0,,1,1,0.0,117.0
2987053,87349,18018,,0,130.95,1,0.0,,0,1,0.0,130.95
2987054,87401,18370,,0,34.0,1,0.0,,0,1,0.0,34.0
2987055,87413,3670,,0,210.95,1,1.0,,1,1,0.0,210.95
2987056,87440,1955,,0,500.0,1,1.0,,1,1,0.0,500.0
2987057,87445,11839,SM-G930V Build/NRD90M,0,50.0,1,0.0,1.0,0,1,1.0,50.0
2987058,87532,16659,,0,380.21,1,0.0,,0,1,0.0,380.21
2987059,87557,9785,,0,35.95,1,1.0,,1,1,0.0,35.95
2987060,87581,2213,,0,2454.0,1,0.0,,0,1,0.0,2454.0
2987061,87596,12544,,0,58.95,1,0.0,,0,1,0.0,58.95
2987062,87601,18132,,0,200.0,1,0.0,,0,1,0.0,200.0
2987063,87604,17967,,0,80.0,1,1.0,,1,1,0.0,80.0
2987064,87611,3278,,0,250.0,1,1.0,,1,1,0.0,250.0
2987065,87650,17188,,0,114.95,1,0.0,,0,1,0.0,114.95
2987066,87660,15333,Windows,0,300.0,1,0.0,1.0,0,1,1.0,300.0
2987067,87664,1240,,0,445.0,1,1.0,,1,1,0.0,445.0
2987068,87667,14076,,0,3.081,1,0.0,,0,1,0.0,3.081
2987069,87725,12866,,0,20.0,1,0.0,,0,1,0.0,20.0
2987070,87735,3682,iOS Device,0,100.0,1,0.0,1.0,0,1,1.0,100.0
2987071,87736,1662,,0,59.0,1,1.0,,1,1,0.0,59.0
2987072,87752,13832,BLADE A602 Build/MRA58K,0,6.767,1,1.0,1.0,1,1,1.0,6.767
2987073,87759,1955,,0,554.0,1,1.0,,2,1,0.0,554.0
2987074,87775,15885,Windows,0,27.793,1,1.0,2.0,2,1,1.0,27.792999999999992
2987075,87779,4806,,0,68.5,1,1.0,,2,1,0.0,68.5
2987076,87787,18132,,0,36.95,2,1.0,,1,1,0.0,236.95
2987077,87793,3278,,0,280.0,2,2.0,,2,1,0.0,530.0
2987078,87825,14858,,0,300.0,1,1.0,,1,1,0.0,300.0
2987079,87839,4504,,0,28.699,1,1.0,,1,1,0.0,28.699
2987080,87856,7207,,0,60.0,1,1.0,,1,1,0.0,60.0
2987081,87868,17188,,0,104.95,2,0.0,,0,1,0.0,219.9
2987082,87899,15066,,0,280.0,1,1.0,,1,1,0.0,280.0
2987083,87924,14695,,0,411.95,1,0.0,,0,1,0.0,411.95
2987084,87928,5583,Windows,0,125.674,1,0.0,3.0,0,1,1.0,125.674
2987085,87935,15885,,0,42.596,2,2.0,,3,1,1.0,70.38899999999998
2987086,87950,11815,,0,44.5,1,1.0,,1,1,0.0,44.5
2987087,88004,1549,,0,88.95,1,1.0,,1,1,0.0,88.95
2987088,88021,18095,,0,140.0,1,0.0,,0,1,0.0,140.0
2987089,88042,17188,,0,318.95,2,0.0,,0,1,0.0,423.90000000000003
2987090,88046,15885,,0,77.821,3,3.0,,4,1,1.0,148.20999999999998
2987091,88053,14165,,0,107.0,1,1.0,,1,1,0.0,107.0
2987092,88054,6481,,0,117.0,1,1.0,,1,1,0.0,117.0
2987093,88070,5220,Windows,0,50.0,1,0.0,3.0,0,1,1.0,50.0
2987094,88107,5409,,0,527.0,1,1.0,,1,1,0.0,527.0
2987095,88120,2538,,0,59.0,1,1.0,,1,1,0.0,59.0
2987096,88131,15121,,0,108.5,1,1.0,,1,1,0.0,108.5
2987097,88147,2581,,0,21.5,1,1.0,,1,1,0.0,21.5
2987098,88149,6459,,0,159.0,1,1.0,,1,1,0.0,159.0
2987099,88162,1214,iOS Device,0,75.0,1,0.0,1.0,0,1,1.0,75.0
2987100,88169,16659,SM-G930V Build/NRD90M,0,100.0,1,0.0,1.0,0,1,1.0,100.0
2987101,88174,4523,MacOS,0,25.0,1,0.0,1.0,0,1,1.0,25.0
2987102,88178,4186,,0,42.95,1,1.0,,1,1,0.0,42.95
2987103,88184,18370,,0,47.95,1,1.0,,1,1,0.0,47.95
2987104,88208,16659,SM-G930V Build/NRD90M,0,100.0,2,0.0,1.0,0,2,1.0,200.0
2987105,88229,15885,XT1635-02 Build/NPN26.118-22-2,0,5.075,3,3.0,1.0,5,1,2.0,125.49199999999996
2987106,88230,12733,,0,92.0,1,1.0,,1,1,0.0,92.0
2987107,88258,9500,,0,226.0,1,0.0,,0,1,0.0,226.0
2987108,88303,9515,,0,150.0,1,0.0,,0,1,0.0,150.0
2987109,88346,2704,,0,107.95,1,1.0,,1,1,0.0,107.95
2987110,88380,1214,,0,1153.95,2,0.0,,0,1,1.0,1228.95
2987111,88383,13832,Windows,0,18.186,1,0.0,1.0,0,1,2.0,18.186
2987112,88394,15497,,0,210.95,1,0.0,,0,1,0.0,210.95
2987113,88404,15885,,0,11.782,2,2.0,,6,1,2.0,16.85699999999997
2987114,88404,12184,Windows,0,4.433,1,1.0,2.0,1,1,1.0,4.433
2987115,88410,11465,,0,75.0,1,1.0,,1,1,0.0,75.0
2987116,88435,10520,,0,34.0,1,0.0,,0,1,0.0,34.0
2987117,88440,9803,,0,200.0,1,1.0,,1,1,0.0,200.0
2987118,88471,15885,,0,11.782,3,3.0,,7,1,2.0,28.63899999999997
2987119,88484,2456,MacOS,0,100.0,1,0.0,1.0,0,1,1.0,100.0
2987120,88507,9749,,0,59.0,1,1.0,,1,1,0.0,59.0
2987121,88517,1804,MacOS,0,50.0,1,0.0,2.0,0,1,1.0,50.0
2987122,88538,9500,,0,80.0,2,0.0,,0,1,0.0,306.0
2987123,88549,6550,,0,59.0,1,1.0,,1,1,0.0,59.0
2987124,88554,12873,,0,58.95,1,0.0,,0,1,0.0,58.95
2987125,88556,1804,MacOS,0,50.0,2,0.0,2.0,0,2,1.0,100.0
2987126,88579,11279,,0,87.95,1,1.0,,1,1,0.0,87.95
2987127,88586,2704,,0,107.95,2,2.0,,2,1,0.0,215.9
2987128,88589,4106,,0,57.95,1,0.0,,0,1,0.0,57.95
2987129,88607,8394,,0,50.0,1,1.0,,1,1,0.0,50.0
2987130,88619,13329,Windows,0,70.933,1,0.0,3.0,0,1,1.0,70.93299999999999
2987131,88628,18227,,0,444.61,1,0.0,,0,1,0.0,444.61
2987132,88638,8684,,0,757.07,1,0.0,,0,1,0.0,757.07
2987133,88647,14349,,0,2594.95,1,0.0,,0,1,0.0,2594.95
2987134,88657,8406,,0,117.0,1,1.0,,1,1,0.0,117.0
2987135,88671,2616,,0,3000.0,1,1.0,,1,1,0.0,3000.0
2987136,88688,2392,,0,30.0,1,0.0,,0,1,0.0,29.999999999999986
2987137,88704,1675,,0,56.95,1,1.0,,1,1,0.0,56.95
2987138,88725,16075,Windows,0,100.0,1,0.0,2.0,0,1,1.0,100.0
2987139,88735,9026,,0,129.299,1,1.0,,1,1,0.0,129.299
2987140,88743,9992,,0,208.43,1,1.0,,1,1,0.0,208.43
2987141,88755,8194,MacOS,0,200.0,1,0.0,3.0,0,1,1.0,200.0
2987142,88777,15885,,0,23.806,1,1.0,,8,1,2.0,23.805999999999965
2987143,88778,1764,,0,100.0,1,0.0,,0,1,0.0,100.0
2987144,88803,8194,MacOS,0,200.0,2,0.0,2.0,0,2,1.0,400.0
2987145,88805,8260,iOS Device,0,100.0,1,0.0,1.0,0,1,1.0,100.0
2987146,88818,15885,,0,23.806,2,2.0,,9,2,2.0,47.611999999999966
2987147,88819,11279,,0,25.95,2,2.0,,2,1,0.0,113.9
2987148,88842,14858,iOS Device,0,30.0,1,0.0,2.0,0,1,1.0,30.0
2987149,88849,12873,,0,43.95,2,0.0,,0,1,0.0,102.9
2987150,88880,12695,,0,117.0,1,1.0,,2,1,0.0,117.0
2987151,88897,12577,,0,49.0,1,1.0,,1,1,0.0,49.0
2987152,88907,14349,,0,587.82,2,1.0,,1,1,0.0,3182.77
2987153,88910,14165,,0,29.0,1,1.0,,2,1,0.0,29.0
2987154,88912,14605,,0,35.95,1,1.0,,1,1,0.0,35.95
2987155,88943,6053,,0,479.95,1,1.0,,1,1,0.0,479.95
2987156,88965,3334,Windows,0,50.0,1,0.0,2.0,0,1,1.0,50.0
2987157,88997,14025,,0,30.0,1,1.0,,1,1,0.0,30.0
2987158,88997,10023,,0,171.0,1,0.0,,0,1,0.0,171.0
2987159,89072,17188,,0,92.95,1,1.0,,1,1,0.0,92.95000000000005
2987160,89075,8431,,0,29.0,1,1.0,,2,1,0.0,29.0
2987161,89085,9500,,0,107.95,1,0.0,,0,1,0.0,107.94999999999999
2987162,89095,15651,,0,100.0,1,1.0,,1,1,0.0,100.0
2987163,89103,17188,,0,973.95,2,2.0,,2,2,0.0,1066.9
2987164,89133,13641,,0,34.0,1,1.0,,1,1,0.0,34.0
2987165,89134,1974,,0,39.0,1,1.0,,1,1,0.0,39.0
2987166,89147,11919,,0,26.5,1,1.0,,1,1,0.0,26.5
2987167,89169,6019,Windows,0,100.0,1,0.0,2.0,0,1,1.0,100.0
2987168,89180,15497,,0,36.95,1,0.0,,0,1,0.0,36.94999999999999
2987169,89185,6951,,0,100.0,1,1.0,,1,1,0.0,100.0
2987170,89189,10989,,0,20.0,1,1.0,,1,1,0.0,20.0
2987171,89211,3570,,0,34.0,1,0.0,,0,1,0.0,34.0
2987172,89225,7063,,0,159.95,1,1.0,,1,1,0.0,159.95
2987173,89230,4436,iOS Device,0,25.0,1,0.0,1.0,0,1,1.0,25.0
2987174,89250,9500,,0,107.95,2,1.0,,1,1,0.0,215.89999999999998
2987175,89268,18227,,0,117.0,1,0.0,,0,1,0.0,117.0
2987176,89283,15066,,0,39.0,1,1.0,,2,1,0.0,39.0
2987177,89341,16132,,0,306.47,1,1.0,,2,1,0.0,306.47
2987178,89372,14290,,0,445.0,1,1.0,,1,1,0.0,445.0
2987179,89393,15497,,0,424.95,2,1.0,,1,1,0.0,461.9
2987180,89404,4348,,0,83.95,1,0.0,,0,1,0.0,83.95
2987181,89437,16632,,0,171.0,1,1.0,,1,1,0.0,171.0
2987182,89439,15497,,0,311.95,3,2.0,,2,2,0.0,773.8499999999999
2987183,89444,10047,Z970,0,200.0,1,0.0,1.0,0,1,1.0,200.0
2987184,89466,7508,,0,112.99,1,1.0,,1,1,0.0,112.99
2987185,89483,6209,,0,359.91,1,0.0,,0,1,0.0,359.91
2987186,89513,3278,,0,117.0,1,1.0,,3,1,0.0,117.0
2987187,89542,16930,,0,50.0,1,1.0,,1,1,0.0,50.0
2987188,89545,12866,,0,12.0,1,0.0,,0,1,0.0,12.0
2987189,89561,8755,Windows,0,57.399,1,0.0,1.0,0,1,1.0,57.399
2987190,89565,5458,,0,32.325,1,1.0,,1,1,0.0,32.325
2987191,89597,13886,,0,26.5,1,1.0,,1,1,0.0,26.5
2987192,89600,3154,Windows,0,5.982,1,1.0,2.0,1,1,1.0,5.982
2987193,89611,4504,,0,28.699,1,0.0,,0,1,0.0,28.699
2987194,89624,11556,,0,1486.44,1,1.0,,1,1,0.0,1486.44
2987195,89625,17400,,0,59.0,1,1.0,,1,1,0.0,59.0
2987196,89633,2115,Windows,0,8.641,1,0.0,3.0,0,1,1.0,8.641
2987197,89663,7826,iOS Device,0,66.0,1,0.0,1.0,0,1,1.0,66.0
2987198,89663,2884,iOS Device,0,15.0,1,0.0,2.0,0,1,1.0,15.0
2987199,89665,15885,,0,19.455,1,1.0,,10,1,2.0,19.454999999999966
2987200,89666,12577,,0,34.0,1,1.0,,2,1,0.0,34.0
2987201,89699,11106,,0,2547.46,1,1.0,,1,1,0.0,2547.46
2987202,89719,5254,,0,47.95,1,1.0,,1,1,0.0,47.95
2987203,89760,18268,,1,445.0,1,1.0,,1,1,0.0,445.0
2987204,89785,13366,,0,47.95,1,0.0,,0,1,0.0,47.95
2987205,89793,1085,,0,28.699,1,0.0,,0,1,0.0,28.699
2987206,89793,6621,,0,39.0,1,0.0,,0,1,0.0,39.0
2987207,89828,6019,iOS Device,0,25.0,1,0.0,3.0,0,1,2.0,25.0
2987208,89834,5433,,0,120.95,1,1.0,,1,1,0.0,120.95
2987209,89836,10876,Windows,0,21.993,1,0.0,4.0,0,1,1.0,21.993
2987210,89837,15451,,0,2948.95,1,1.0,,1,1,0.0,2948.95
2987211,89840,6019,SM-N920V Build/NRD90M,0,15.0,2,0.0,1.0,0,2,3.0,40.0
2987212,89844,2560,,0,117.0,1,1.0,,1,1,0.0,117.0
2987213,89867,6957,,0,499.95,1,1.0,,1,1,0.0,499.95
2987214,89878,5033,,0,99.0,1,1.0,,1,1,0.0,99.0
2987215,89886,9002,,0,209.95,1,1.0,,2,1,0.0,209.95000000000005
2987216,89916,10057,,0,100.0,1,0.0,,0,1,0.0,100.0
2987217,89924,14637,,0,15.0,1,1.0,,1,1,0.0,15.0
2987218,89930,12469,,0,117.0,1,1.0,,1,1,0.0,117.0
2987219,89931,10027,,0,50.0,1,1.0,,1,1,0.0,50.0
2987220,89940,14290,,0,49.0,1,1.0,,2,1,0.0,49.0
2987221,89941,12469,,0,68.5,2,2.0,,2,2,0.0,185.5
2987222,89942,6832,,0,590.4,1,1.0,,1,1,0.0,590.4
2987223,89948,2616,,0,54.0,1,1.0,,2,1,0.0,54.0
2987224,89966,16075,,0,67.95,1,1.0,,1,1,1.0,67.94999999999999
2987225,89969,9500,,0,43.0,1,1.0,,2,1,0.0,42.999999999999986
2987226,89989,6755,,0,39.0,1,1.0,,1,1,0.0,39.0
2987227,89990,11839,,0,1973.0,1,1.0,,1,1,1.0,1973.0
2987228,90014,7664,,0,75.0,1,0.0,,0,1,0.0,75.0
2987229,90034,18249,,0,49.0,1,1.0,,1,1,0.0,49.0
2987230,90084,6170,,0,107.95,1,1.0,,1,1,0.0,107.95
2987231,90085,4591,,0,474.95,1,1.0,,1,1,0.0,474.95
2987232,90098,14502,,0,25.95,1,0.0,,0,1,0.0,25.95
2987233,90110,5033,,0,116.0,2,2.0,,2,1,0.0,215.0
2987234,90111,16132,,0,150.5,1,1.0,,3,1,0.0,150.5
2987235,90147,13734,,0,50.0,1,0.0,,0,1,0.0,50.0
2987236,90149,10023,iOS Device,0,30.0,1,0.0,1.0,0,1,1.0,30.0
2987237,90156,14290,,0,200.0,2,1.0,,0,1,0.0,249.0
2987238,90163,17188,,0,226.0,1,1.0,,3,1,0.0,226.0
2987239,90178,10616,,0,171.0,1,0.0,,0,1,0.0,171.0
2987240,90193,13413,Redmi Note 4 Build/MMB29M,1,37.098,1,1.0,1.0,1,1,1.0,37.098
2987241,90232,5567,,0,250.0,1,1.0,,1,1,0.0,250.0
2987242,90244,2019,,0,24.95,1,0.0,,0,1,0.0,24.95
2987243,90246,13413,Redmi Note 4 Build/MMB29M,1,37.098,2,2.0,1.0,2,2,1.0,74.196
2987244,90294,9175,,0,15.0,1,1.0,,1,1,0.0,15.0
2987245,90295,13413,Redmi Note 4 Build/MMB29M,1,37.098,3,3.0,1.0,3,3,1.0,111.294
2987246,90299,17400,,0,50.0,1,1.0,,2,1,0.0,50.0
2987247,90308,15757,,0,58.95,1,1.0,,1,1,0.0,58.95
2987248,90325,11660,iOS Device,0,50.0,1,0.0,2.0,0,1,1.0,50.0
2987249,90327,12544,,0,78.95,1,0.0,,0,1,0.0,78.95
2987250,90332,7861,,0,289.95,1,0.0,,0,1,0.0,289.95
2987251,90365,10057,,0,100.0,1,0.0,,0,1,0.0,100.0
2987252,90366,2115,Windows,0,48.638,1,0.0,1.0,0,1,1.0,48.638
2987253,90370,4184,,0,200.0,1,0.0,,0,1,0.0,200.0
2987254,90392,17598,,0,54.5,1,0.0,,0,1,0.0,54.5
2987255,90440,9500,,0,54.0,1,1.0,,3,1,0.0,53.999999999999986
2987256,90441,9653,,0,108.95,1,0.0,,0,1,0.0,108.95
2987257,90445,18320,,0,2038.95,1,1.0,,1,1,0.0,2038.95
2987258,90478,2115,Windows,0,48.638,2,0.0,1.0,0,1,1.0,97.276
2987259,90480,16346,,0,42.596,1,1.0,,1,1,0.0,42.596
2987260,90487,10882,,0,34.5,1,1.0,,1,1,0.0,34.5
2987261,90492,10049,,0,59.0,1,1.0,,1,1,0.0,59.0
2987262,90504,9300,Windows,0,55.829,1,0.0,2.0,0,1,1.0,55.829
2987263,90515,15066,,0,385.78,1,1.0,,3,1,0.0,385.78
2987264,90525,1804,,0,48.95,1,1.0,,1,1,1.0,48.94999999999999
2987265,90581,17400,iOS Device,0,50.0,2,1.0,2.0,0,1,1.0,100.0
2987266,90581,4461,Windows,0,48.578,1,1.0,3.0,1,1,1.0,48.578
2987267,90593,12577,,0,29.0,1,1.0,,3,1,0.0,29.0
2987268,90608,12839,,0,30.95,1,0.0,,0,1,0.0,30.95
2987269,90610,4921,,0,25.0,1,1.0,,1,1,0.0,25.0
2987270,90630,17400,iOS Device,0,50.0,2,0.0,1.0,0,2,1.0,100.0
2987271,90635,9596,Windows,0,50.0,1,0.0,4.0,0,1,1.0,50.0
2987272,90652,11204,,0,25.0,1,0.0,,0,1,0.0,25.0
2987273,90655,15063,iOS Device,0,200.0,1,0.0,2.0,0,1,1.0,200.0
2987274,90715,10112,,0,222.0,1,1.0,,2,1,0.0,222.0
2987275,90723,1724,MacOS,0,25.0,1,0.0,1.0,0,1,1.0,25.0
2987276,90725,10486,,0,450.95,1,0.0,,0,1,0.0,450.95
2987277,90805,3821,,0,30.0,1,1.0,,1,1,0.0,30.0
2987278,90807,5433,,0,120.95,1,0.0,,0,1,0.0,120.95
2987279,90808,10023,,0,59.0,1,1.0,,1,1,1.0,59.0
2987280,90809,5653,,0,50.0,1,1.0,,1,1,0.0,50.0
2987281,90815,5017,Windows,0,30.0,1,0.0,3.0,0,1,1.0,30.0
2987282,90828,2884,,0,50.0,1,1.0,,1,1,1.0,50.0
2987283,90835,5345,,0,57.95,1,1.0,,1,1,0.0,57.95
2987284,90887,7698,Windows,0,18.73,1,0.0,3.0,0,1,1.0,18.73
2987285,90892,10520,,0,34.0,1,0.0,,0,1,0.0,34.0
2987286,90946,7585,,0,72.99,1,1.0,,1,1,0.0,72.99
2987287,90973,7794,,0,25.014,1,0.0,,0,1,0.0,25.014
2987288,90986,16578,,1,155.521,1,1.0,,1,1,0.0,155.521
2987289,91011,15268,,0,107.95,1,0.0,,0,1,0.0,107.95
2987290,91011,14280,,0,30.0,1,0.0,,0,1,0.0,30.0
2987291,91034,3090,,0,26.5,1,1.0,,1,1,0.0,26.5
2987292,91061,8691,,0,15.0,1,1.0,,1,1,0.0,15.0
2987293,91119,17188,,0,117.0,1,1.0,,4,1,0.0,117.0
2987294,91124,1675,,0,59.0,1,1.0,,2,1,0.0,59.0
2987295,91129,6530,,0,112.0,1,1.0,,1,1,0.0,112.0
2987296,91145,9803,,0,160.5,1,1.0,,2,1,0.0,160.5
2987297,91160,2647,,0,200.0,1,0.0,,0,1,0.0,200.0
2987298,91168,17868,,0,107.95,1,1.0,,2,1,0.0,107.94999999999999
2987299,91172,15742,,0,72.99,1,1.0,,1,1,0.0,72.99
2987300,91173,2115,,0,48.638,1,1.0,,1,1,1.0,48.637999999999984
2987301,91188,9633,Lenovo PB1-750M Build/S100,0,20.905,1,1.0,1.0,1,1,1.0,20.905
2987302,91215,2115,,0,48.638,2,2.0,,2,2,1.0,97.27599999999998
2987303,91220,11106,,0,1351.55,1,1.0,,2,1,0.0,1351.5500000000002
2987304,91244,8528,,0,554.0,1,1.0,,1,1,0.0,554.0
2987305,91257,2115,,0,48.638,3,3.0,,3,3,1.0,145.914
2987306,91323,12695,,0,20.0,1,1.0,,3,1,0.0,20.0
2987307,91330,12581,,0,159.95,1,0.0,,0,1,0.0,159.95
2987308,91333,5033,,0,25.95,1,1.0,,3,1,0.0,25.94999999999999
2987309,91339,1974,,0,25.95,1,0.0,,0,1,0.0,25.950000000000003
2987310,91339,7585,,0,105.0,1,1.0,,2,1,0.0,105.00000000000001
2987311,91343,16984,MacOS,0,50.0,1,0.0,1.0,0,1,1.0,50.0
2987312,91346,10057,,0,25.0,1,1.0,,1,1,0.0,25.0
2987313,91353,3682,,0,83.95,1,1.0,,1,1,0.0,83.94999999999999
2987314,91359,16916,,0,54.0,1,1.0,,1,1,0.0,54.0
2987315,91414,15813,,0,364.95,1,0.0,,0,1,0.0,364.95
2987316,91422,15885,Windows,0,19.576,1,0.0,1.0,0,1,2.0,19.575999999999965
2987317,91432,11410,,0,335.0,1,1.0,,1,1,0.0,335.0
2987318,91504,14079,,0,39.0,1,1.0,,1,1,0.0,39.0
2987319,91515,15063,,0,300.0,1,0.0,,0,1,1.0,300.0
2987320,91518,7585,,0,82.95,2,2.0,,3,1,0.0,187.95000000000002
2987321,91544,9485,,0,108.5,1,0.0,,0,1,0.0,108.5
2987322,91563,11972,,0,219.95,1,1.0,,1,1,0.0,219.95
2987323,91575,15986,,0,107.95,1,1.0,,1,1,0.0,107.95
2987324,91577,10616,,0,412.73,1,1.0,,1,1,0.0,412.73
2987325,91598,16326,,0,354.95,1,1.0,,1,1,0.0,354.95
2987326,91610,9440,,0,107.95,1,0.0,,0,1,0.0,107.95
2987327,91614,16659,Windows,0,125.0,1,0.0,2.0,0,1,2.0,125.0
2987328,91684,3154,Windows,0,16.857,1,0.0,3.0,0,1,1.0,16.857
2987329,91691,2392,,0,160.5,1,0.0,,0,1,0.0,160.5
2987330,91706,12544,,0,25.0,1,1.0,,1,1,0.0,25.0
2987331,91724,15232,,0,105.95,1,0.0,,0,1,0.0,105.95
2987332,91758,9500,iOS Device,0,100.0,1,0.0,1.0,0,1,1.0,100.0
2987333,91760,15497,Windows,0,30.0,1,0.0,3.0,0,1,1.0,29.999999999999886
2987334,91790,2803,,0,524.0,1,1.0,,1,1,0.0,524.0
2987335,91804,9500,iOS Device,0,100.0,2,0.0,1.0,0,2,1.0,200.0
2987336,91824,9500,iOS Device,0,100.0,3,0.0,1.0,0,3,1.0,300.0
2987337,91875,15497,iOS Device,0,50.0,2,0.0,2.0,0,1,2.0,79.99999999999989
2987338,91884,9500,iOS Device,0,100.0,4,0.0,2.0,0,1,1.0,400.0
2987339,91890,14042,,0,33.25,1,1.0,,1,1,0.0,33.25
2987340,91894,17399,,0,157.95,1,1.0,,1,1,0.0,157.95
2987341,91927,2803,,0,648.95,2,2.0,,2,1,0.0,1172.95
2987342,91928,6927,,0,335.0,1,1.0,,1,1,0.0,335.0
2987343,91955,17399,,0,57.95,2,2.0,,2,1,0.0,215.89999999999998
2987344,91977,1692,,0,117.0,1,1.0,,1,1,0.0,117.0
2987345,92000,9561,,0,711.93,1,1.0,,1,1,0.0,711.93
2987346,92004,10269,,0,107.95,1,1.0,,1,1,0.0,107.95
2987347,92010,12839,,0,60.0,1,0.0,,0,1,0.0,60.0
2987348,92010,10616,,0,59.0,1,1.0,,2,1,0.0,59.0
2987349,92016,3178,,0,59.0,1,1.0,,1,1,0.0,59.0
2987350,92038,3090,,0,26.5,1,1.0,,2,1,0.0,26.5
2987351,92085,14079,,0,35.95,1,1.0,,2,1,0.0,35.95
2987352,92117,10568,LT22i Build/6.2.A.1.100,0,26.947,1,1.0,1.0,1,1,1.0,26.947
2987353,92119,6741,,0,500.0,1,1.0,,1,1,0.0,500.0
2987354,92127,2803,,0,58.0,2,2.0,,3,1,0.0,706.95
2987355,92158,3869,MacOS,0,500.0,1,0.0,1.0,0,1,1.0,500.0
2987356,92174,9112,,0,209.95,1,0.0,,0,1,0.0,209.95
2987357,92185,15205,,0,25.0,1,1.0,,1,1,0.0,25.0
2987358,92187,11925,,0,59.0,1,1.0,,1,1,0.0,59.0
